id,Month Year,ONI,Mark,Year,Month,moving,Extreme ElNino,Extreme LaNina
509,6/1/21,-0.4,neutral,2021,June,MJJ,,
510,7/1/21,-0.4,neutral,2021,July,JJA,,
511,8/1/21,-0.5,neutral,2021,August,JAS,,
512,9/1/21,-0.7,neutral,2021,September,ASO,,
513,10/1/21,-0.8,neutral,2021,October,SON,,
514,11/1/21,-1,neutral,2021,November,OND,,
515,12/1/21,-1,lanina,2021,December,NDJ,,
516,1/1/22,-1,lanina,2022,January,DJF,,
517,2/1/22,-0.9,lanina,2022,February,JFM,,
518,3/1/22,-1,lanina,2022,March,FMA,,
519,4/1/22,-1.1,lanina,2022,April,MAM,,
520,5/1/22,-1,lanina,2022,May,AMJ,,
521,6/1/22,-0.9,lanina,2022,June,MJJ,,
522,7/1/22,-0.8,lanina,2022,July,JJA,,
523,8/1/22,-0.9,lanina,2022,August,JAS,,
524,9/1/22,-1,lanina,2022,September,ASO,,
525,10/1/22,-1,lanina,2022,October,SON,,
526,11/1/22,-0.9,lanina,2022,November,OND,,
527,12/1/22,-0.8,lanina,2022,December,NDJ,,
528,1/1/23,-0.7,lanina,2023,January,DJF,,
529,2/1/23,-0.4,neutral,2023,February,JFM,,
530,3/1/23,-0.1,neutral,2023,March,FMA,,
531,4/1/23,0.2,neutral,2023,April,MAM,,
532,5/1/23,0.5,neutral,2023,May,AMJ,,
533,6/1/23,0.8,neutral,2023,June,MJJ,,
534,7/1/23,1.1,neutral,2023,July,JJA,,
535,8/1/23,1.3,neutral,2023,August,JAS,,
536,9/1/23,1.6,elnino,2023,September,ASO,,
537,10/1/23,1.8,elnino,2023,October,SON,,
538,11/1/23,,,2023,November,OND,,
539,12/1/23,,,2023,December,NDJ,,
